,customer_id,order_date,revenue,first_name,last_name,email
0,Brion Stark,2004-12-20,32,Brion,Stark,brion_stark@rfmail.com
1,Ethyl Botsford,2005-05-02,36,Ethyl,Botsford,ethyl_botsford@rfmail.com
2,Hosteen Jacobi,2004-03-06,116,Hosteen,Jacobi,hosteen_jacobi@rfmail.com
3,Edw Frami,2006-03-15,99,Edw,Frami,edw_frami@rfmail.com
4,Josef Lemke,2006-08-14,76,Josef,Lemke,josef_lemke@rfmail.com
5,Julisa Halvorson,2005-05-28,56,Julisa,Halvorson,julisa_halvorson@rfmail.com
6,Judyth Lueilwitz,2005-03-09,108,Judyth,Lueilwitz,judyth_lueilwitz@rfmail.com
7,Mekhi Goyette,2005-09-23,183,Mekhi,Goyette,mekhi_goyette@rfmail.com
8,Hansford Moen,2005-09-07,30,Hansford,Moen,hansford_moen@rfmail.com
9,Fount Flatley,2006-04-12,13,Fount,Flatley,fount_flatley@rfmail.com
10,Reynaldo Davis,2004-05-30,149,Reynaldo,Davis,reynaldo_davis@rfmail.com
11,Shirl Keebler,2005-03-04,66,Shirl,Keebler,shirl_keebler@rfmail.com
12,Aden Murphy,2005-05-27,65,Aden,Murphy,aden_murphy@rfmail.com
13,Hattie Roberts,2004-05-10,92,Hattie,Roberts,hattie_roberts@rfmail.com
14,Luciano Kling,2005-09-10,96,Luciano,Kling,luciano_kling@rfmail.com
15,Admiral Senger,2006-08-21,78,Admiral,Senger,admiral_senger@rfmail.com
16,Hyman Kemmer,2006-01-18,12,Hyman,Kemmer,hyman_kemmer@rfmail.com
17,Torry Reynolds,2005-06-20,132,Torry,Reynolds,torry_reynolds@rfmail.com
18,Erica Gottlieb,2004-01-11,65,Erica,Gottlieb,erica_gottlieb@rfmail.com
19,Jabbar Dickens,2005-05-14,18,Jabbar,Dickens,jabbar_dickens@rfmail.com
20,Gunner Wiegand,2006-09-26,51,Gunner,Wiegand,gunner_wiegand@rfmail.com
21,Devante Gerhold,2005-02-09,161,Devante,Gerhold,devante_gerhold@rfmail.com
22,Jeff Bartoletti,2006-10-11,47,Jeff,Bartoletti,jeff_bartoletti@rfmail.com
23,Tyreke DuBuque,2005-07-03,38,Tyreke,DuBuque,tyreke_dubuque@rfmail.com
24,Dell Baumbach,2004-06-06,187,Dell,Baumbach,dell_baumbach@rfmail.com
25,Bobby Corwin,2004-02-25,50,Bobby,Corwin,bobby_corwin@rfmail.com
26,Luciano Kling,2006-01-11,210,Luciano,Kling,luciano_kling@rfmail.com
27,Helyn Ondricka,2005-05-20,76,Helyn,Ondricka,helyn_ondricka@rfmail.com
28,Curtis Runolfsdottir,2005-05-15,193,Curtis,Runolfsdottir,curtis_runolfsdottir@rfmail.com
29,Lucious Langosh,2006-09-06,85,Lucious,Langosh,lucious_langosh@rfmail.com
30,Ronan McLaughlin,2005-12-02,38,Ronan,McLaughlin,ronan_mclaughlin@rfmail.com
31,Barrett Turcotte,2004-06-17,46,Barrett,Turcotte,barrett_turcotte@rfmail.com
32,Lyndon McClure,2004-07-03,108,Lyndon,McClure,lyndon_mcclure@rfmail.com
33,Brooks Funk,2005-08-21,23,Brooks,Funk,brooks_funk@rfmail.com
34,Alf Lueilwitz,2005-06-26,92,Alf,Lueilwitz,alf_lueilwitz@rfmail.com
35,Lilah Blanda,2005-09-28,55,Lilah,Blanda,lilah_blanda@rfmail.com
36,Daryn Hickle,2005-10-29,178,Daryn,Hickle,daryn_hickle@rfmail.com
37,Davy Leuschke,2006-03-11,101,Davy,Leuschke,davy_leuschke@rfmail.com
38,Shirl Kuvalis,2005-10-18,119,Shirl,Kuvalis,shirl_kuvalis@rfmail.com
39,Lovie Keeling,2004-02-09,35,Lovie,Keeling,lovie_keeling@rfmail.com
40,Burns Mayer,2004-02-03,53,Burns,Mayer,burns_mayer@rfmail.com
41,Elza Gleichner,2005-04-13,187,Elza,Gleichner,elza_gleichner@rfmail.com
42,Darrion Stoltenberg,2005-05-01,117,Darrion,Stoltenberg,darrion_stoltenberg@rfmail.com
43,Somer Turcotte,2006-06-24,12,Somer,Turcotte,somer_turcotte@rfmail.com
44,Tad Johnson,2004-06-17,194,Tad,Johnson,tad_johnson@rfmail.com
45,Robert Satterfield,2006-08-18,28,Robert,Satterfield,robert_satterfield@rfmail.com
46,Alf Lueilwitz,2005-01-29,68,Alf,Lueilwitz,alf_lueilwitz@rfmail.com
47,Quintin Tillman,2005-07-23,215,Quintin,Tillman,quintin_tillman@rfmail.com
48,Vivienne Medhurst,2005-03-30,106,Vivienne,Medhurst,vivienne_medhurst@rfmail.com
49,Holland Lynch,2004-07-06,18,Holland,Lynch,holland_lynch@rfmail.com
50,Davian Ledner,2004-04-06,51,Davian,Ledner,davian_ledner@rfmail.com
51,Vannie Kunze,2005-04-20,25,Vannie,Kunze,vannie_kunze@rfmail.com
52,Micayla Kutch,2005-07-29,29,Micayla,Kutch,micayla_kutch@rfmail.com
53,Jaren Schmeler,2006-09-20,118,Jaren,Schmeler,jaren_schmeler@rfmail.com
54,Gracia Wunsch,2005-06-13,53,Gracia,Wunsch,gracia_wunsch@rfmail.com
55,Rebeca Kling,2006-05-05,194,Rebeca,Kling,rebeca_kling@rfmail.com
56,Avery Bartoletti,2005-09-25,110,Avery,Bartoletti,avery_bartoletti@rfmail.com
57,Collie Von,2005-07-02,62,Collie,Von,collie_von@rfmail.com
58,Etta Towne,2005-12-10,59,Etta,Towne,etta_towne@rfmail.com
59,Josephus Bradtke,2005-05-25,188,Josephus,Bradtke,josephus_bradtke@rfmail.com
60,Jacqueline Nikolaus,2005-03-12,105,Jacqueline,Nikolaus,jacqueline_nikolaus@rfmail.com
61,Aileen Barton,2004-01-04,25,Aileen,Barton,aileen_barton@rfmail.com
62,Doshia Stroman,2006-09-20,27,Doshia,Stroman,doshia_stroman@rfmail.com
63,Texas Keebler,2004-06-26,75,Texas,Keebler,texas_keebler@rfmail.com
64,Triston Mills,2005-11-09,40,Triston,Mills,triston_mills@rfmail.com
65,Kieth Wiegand,2006-06-04,97,Kieth,Wiegand,kieth_wiegand@rfmail.com
66,Torrance Pollich,2006-03-07,141,Torrance,Pollich,torrance_pollich@rfmail.com
67,Essence Metz,2004-03-11,62,Essence,Metz,essence_metz@rfmail.com
68,Rochelle Johnson,2006-06-10,36,Rochelle,Johnson,rochelle_johnson@rfmail.com
69,Margarette Eichmann,2005-05-29,74,Margarette,Eichmann,margarette_eichmann@rfmail.com
70,Omie Cummerata,2004-09-12,70,Omie,Cummerata,omie_cummerata@rfmail.com
71,Casen Kuhlman,2006-12-04,100,Casen,Kuhlman,casen_kuhlman@rfmail.com
72,Korey Cronin,2005-09-08,56,Korey,Cronin,korey_cronin@rfmail.com
73,Tia Zulauf,2006-03-13,17,Tia,Zulauf,tia_zulauf@rfmail.com
74,Mitzi Bergstrom,2004-08-05,108,Mitzi,Bergstrom,mitzi_bergstrom@rfmail.com
75,Latoya Stanton,2004-12-19,121,Latoya,Stanton,latoya_stanton@rfmail.com
76,Winifred Kris,2004-06-27,65,Winifred,Kris,winifred_kris@rfmail.com
77,Suzette Pollich,2006-01-30,58,Suzette,Pollich,suzette_pollich@rfmail.com
78,Delfina Watsica,2005-05-14,51,Delfina,Watsica,delfina_watsica@rfmail.com
79,Mykel Johnson,2005-08-07,54,Mykel,Johnson,mykel_johnson@rfmail.com
80,Marcello Torphy,2006-02-16,53,Marcello,Torphy,marcello_torphy@rfmail.com
81,Cary McGlynn,2004-05-05,55,Cary,McGlynn,cary_mcglynn@rfmail.com
82,Rolla Hodkiewicz,2004-09-30,100,Rolla,Hodkiewicz,rolla_hodkiewicz@rfmail.com
83,Cheyenne Dach,2004-02-17,76,Cheyenne,Dach,cheyenne_dach@rfmail.com
84,Lucetta Auer,2004-10-23,44,Lucetta,Auer,lucetta_auer@rfmail.com
85,Devaughn Erdman,2005-05-12,190,Devaughn,Erdman,devaughn_erdman@rfmail.com
86,Benji Jacobson,2004-07-26,64,Benji,Jacobson,benji_jacobson@rfmail.com
87,Katelynn Lebsack,2005-02-28,39,Katelynn,Lebsack,katelynn_lebsack@rfmail.com
88,Amina Renner,2006-05-30,103,Amina,Renner,amina_renner@rfmail.com
89,Halle Davis,2006-08-21,54,Halle,Davis,halle_davis@rfmail.com
90,Jeannie Rutherford,2004-10-10,124,Jeannie,Rutherford,jeannie_rutherford@rfmail.com
91,Essence Metz,2005-12-17,69,Essence,Metz,essence_metz@rfmail.com
92,Casen Blick,2005-12-05,38,Casen,Blick,casen_blick@rfmail.com
